x,y,z,yaw,velocity,change_flag
0.9577,-3.0593,-0.1,1.6844,1.5,0
0.874,-2.7632,-0.1,1.6421,1.5,0
0.8475,-2.4138,-0.1,1.6264,1.5,0
0.7962,-2.1104,-0.1,1.6787,1.5,0
0.7949,-1.7964,-0.1,1.6692,1.5,0
0.7481,-1.4774,-0.1,1.665,1.5,0
0.7279,-1.1373,-0.1,1.4666,1.5,0
0.8017,-0.8187,-0.1,1.1649,1.5,0
0.9374,-0.5136,-0.1,0.9714,1.5,0
1.1433,-0.2841,-0.1,0.7704,1.5,0
1.4232,-0.0924,-0.1,0.5346,1.5,0
1.7299,-0.0016,-0.1,0.3382,1.5,0
2.0513,0.1171,-0.1,0.1707,1.5,0
2.3577,0.1755,-0.1,0.1429,1.5,0
2.6668,0.1754,-0.1,0.0803,1.5,0
2.9634,0.2408,-0.1,0.0635,1.5,0
3.2865,0.2535,-0.1,0.0607,1.5,0
3.6069,0.2597,-0.1,0.0502,1.5,0
3.9311,0.2826,-0.1,0.037,1.5,0
4.2406,0.3055,-0.1,0.0507,1.5,0
4.5762,0.3537,-0.1,0.0396,1.5,0
4.8987,0.4166,-0.1,0.0698,1.5,0
5.2173,0.4505,-0.1,0.0779,1.5,0
5.555,0.4517,-0.1,0.0727,1.5,0
5.8969,0.4607,-0.1,0.0669,1.5,0
6.2205,0.4819,-0.1,0.0572,1.5,0
6.5314,0.5082,-0.1,0.084,1.5,0
6.8556,0.5271,-0.1,0.0878,1.5,0
7.1737,0.5513,-0.1,0.0781,1.5,0
7.4866,0.5754,-0.1,0.065,1.5,0
7.8217,0.596,-0.1,0.0677,1.5,0
8.1228,0.6302,-0.1,0.1028,1.5,0
8.4244,0.673,-0.1,0.0953,1.5,0
8.7582,0.7099,-0.1,0.0878,1.5,0
9.0783,0.7443,-0.1,0.0741,1.5,0
9.4284,0.7697,-0.1,0.0651,1.5,0
9.7513,0.7583,-0.1,-0.0359,1.5,0
10.0719,0.7513,-0.1,-0.2129,1.5,0
10.3814,0.6413,-0.1,-0.4188,1.5,0
10.6548,0.498,-0.1,-0.6105,1.5,0
10.8941,0.3138,-0.1,-0.7652,1.5,0
11.0895,0.0571,-0.1,-0.952,1.5,0
11.2872,-0.2122,-0.1,-1.1384,1.5,0
11.3972,-0.5159,-0.1,-1.3481,1.5,0
11.4557,-0.8463,-0.1,-1.4305,1.5,0
11.4939,-1.1804,-0.1,-1.497,1.5,0
11.5133,-1.5146,-0.1,-1.5087,1.5,0
11.5265,-1.8262,-0.1,-1.5102,1.5,0
11.5592,-2.1848,-0.1,-1.5237,1.5,0
11.5692,-2.4985,-0.1,-1.5282,1.5,0
11.5973,-2.8062,-0.1,-1.538,1.5,0
11.6044,-3.1222,-0.1,-1.5508,1.5,0
11.6186,-3.4511,-0.1,-1.6627,1.5,0
11.5363,-3.7848,-0.1,-1.9205,1.5,0
11.3883,-4.1336,-0.1,-2.1936,1.5,0
11.1858,-4.3584,-0.1,-2.3851,1.5,0
10.9149,-4.5503,-0.1,-2.6249,1.5,0
10.5933,-4.6824,-0.1,-2.8415,1.5,0
10.2798,-4.7758,-0.1,-3.0158,1.5,0
9.9326,-4.8029,-0.1,-3.068,1.5,0
9.6201,-4.8344,-0.1,-3.0737,1.5,0
9.2742,-4.8602,-0.1,-3.08,1.5,0
8.9613,-4.8745,-0.1,-3.092,1.5,0
8.6063,-4.9059,-0.1,-3.0989,1.5,0
8.2996,-4.9059,-0.1,-3.0955,1.5,0
7.9911,-4.9397,-0.1,-3.075,1.5,0
7.6822,-4.9578,-0.1,-3.0774,1.5,0
7.3735,-4.9892,-0.1,-3.0991,1.5,0
7.044,-5.0153,-0.1,-3.0808,1.5,0
6.7202,-5.0352,-0.1,-3.0802,1.5,0
6.3983,-5.0761,-0.1,-3.0629,1.5,0
6.0616,-5.0752,-0.1,-3.0695,1.5,0
5.6984,-5.1193,-0.1,-3.0502,1.5,0
5.386,-5.1694,-0.1,-3.0441,1.5,0
5.0803,-5.1888,-0.1,-3.0522,1.5,0
4.7613,-5.1976,-0.1,-3.0543,1.5,0
4.4447,-5.2501,-0.1,-3.0674,1.5,0
4.1314,-5.2552,-0.1,-3.0766,1.5,0
3.8245,-5.2705,-0.1,-3.0762,1.5,0
3.4649,-5.2864,-0.1,-3.0823,1.5,0
3.1462,-5.3064,-0.1,-3.0902,1.5,0
2.82,-5.3141,-0.1,-3.1321,1.5,0
2.4858,-5.2945,-0.1,3.0529,1.5,0
2.1378,-5.2756,-0.1,2.8653,1.5,0
1.821,-5.1567,-0.1,2.6188,1.5,0
1.5125,-4.9458,-0.1,2.331,1.5,0
1.3371,-4.6837,-0.1,2.0845,1.5,0
1.1999,-4.4095,-0.1,1.9549,1.5,0
1.1055,-4.1146,-0.1,1.854,1.5,0
0.9873,-3.81,-0.1,1.833,1.5,0
0.9174,-3.5117,-0.1,1.7931,1.5,0
0.8804,-3.1928,-0.1,1.7069,0,0
